id1,id2,id3,latitude,longitude,id4
401471354,1453833058,-1,48.88886,2.246978,4
401471354,1453833118,-1,48.88887,2.24673,4
401471354,1453833058,-1,48.88889,2.246864,4
401471354,1453833143,-1,48.88876,2.246197,4
401471354,1453833111,-1,48.88923,2.247037,4
401471354,1453833691,1.35,48.88914,2.247135,4
401471354,1453833899,1.54,48.88849,2.250257,4
401471354,1453834102,1.4,48.88967,2.252452,4
401471354,1453833666,-1,48.88932,2.246085,4
401471354,1453834148,1.51,48.89029,2.253028,4
401471354,1453833185,2.35,48.89086,2.24583,4
401471354,1453833674,0.86,48.88933,2.246665,4
401471354,1453833797,1.36,48.88877,2.248095,4
401471354,1453833648,-1,48.88931,2.246094,4
401471354,1453834014,2.46,48.88862,2.251889,4
401471354,1453834084,1.12,48.88933,2.252215,4
401471354,1453833874,1.33,48.88859,2.249714,4
401471354,1453833188,8.87,48.88995,2.245623,4
401471354,1453833925,1.46,48.88842,2.250809,4
401471354,1453833754,1.14,48.88897,2.247633,4
401471354,1453833669,-1,48.88932,2.246085,4
401471354,1453834123,1.45,48.89,2.252686,4
401471354,1453834244,3.29,48.89089,2.253474,4
401471354,1453834037,0.73,48.88897,2.252022,4
401471354,1453833533,0,48.88977,2.245527,4
401471354,1453833961,0.23,48.88844,2.251376,4
401471354,1453833533,0,48.88977,2.245527,4
401471354,1453834332,-1,48.89194,2.254532,4
401471354,1453834270,1.42,48.89126,2.253526,4
401471354,1453834227,0,48.89065,2.253028,4
401471354,1453833847,0.45,48.88873,2.249193,4
401471354,1453833821,0.83,48.88865,2.248637,4
401471354,1453833186,6.81,48.89034,2.245645,4
401471354,1453833179,-1,48.88923,2.245826,4
401471354,1453836085,1.35,48.92112,2.278444,4
401471354,1453836342,7,48.92063,2.277703,4
401471354,1453836646,0,48.92288,2.267906,4
401471354,1453835083,9.03,48.91246,2.287739,4
401471354,1453835565,0,48.92103,2.278433,4
401471354,1453836011,0,48.92107,2.278497,4
401471354,1453835981,0,48.92107,2.278497,4
401471354,1453835965,0,48.92107,2.278497,4
401471354,1453834716,17.2,48.89355,2.260361,4
401471354,1453834801,14.89,48.9012,2.277579,4
401471354,1453836345,8.53,48.92033,2.277413,4
401471354,1453836519,0,48.9227,2.267862,4
401471354,1453836311,0.48,48.92095,2.278088,4
401471354,1453835471,0.19,48.92085,2.277946,4
401471354,1453835471,0.19,48.92085,2.277946,4
401471354,1453835981,0,48.92107,2.278497,4
401471354,1453836137,0,48.92111,2.278627,4
401471354,1453834769,18.22,48.89919,2.271337,4
401471354,1453835170,9.66,48.91552,2.282577,4
401471354,1453834461,-1,48.89157,2.254147,4
401471354,1453836011,0,48.92107,2.278497,4
401471354,1453836085,1.35,48.92112,2.278444,4
401471354,1453836137,0,48.92111,2.278627,4
401471354,1453834890,16.26,48.90582,2.289311,4
401471354,1453835565,0,48.92103,2.278433,4
401471354,1453834859,10.64,48.90308,2.283821,4
401471354,1453835965,0,48.92107,2.278497,4
401471354,1453836345,8.53,48.92033,2.277413,4
401471354,1453836264,0.42,48.92111,2.278581,4
401471354,1453836443,11.44,48.92231,2.271144,4
401471354,1453836264,0.42,48.92111,2.278581,4
401471354,1453834461,-1,48.89157,2.254147,4
401471354,1453835978,0,48.92107,2.278497,4
401471354,1453835978,0,48.92107,2.278497,4
401471354,1453835285,8.53,48.9197,2.280013,4
401471354,1453834964,5.31,48.90958,2.293054,4
401471354,1453834743,20.58,48.89695,2.26525,4
401471354,1453836519,0,48.9227,2.267862,4
401471354,1453834461,-1,48.89157,2.254147,4
401471354,1453836646,0,48.92288,2.267906,4
401471354,1453835555,0.15,48.92102,2.27844,4
400122569,1453827565,3.17,48.84401,2.240112,4
400122569,1453827565,3.17,48.84401,2.240112,4
400122569,1453827567,0.71,48.84402,2.240125,4
400122569,1453827567,0.71,48.84402,2.240125,4
400122569,1453831745,0,48.83624,2.248934,4
400122569,1453828292,0.86,48.8359,2.249016,4
400122569,1453829389,0,48.83633,2.248938,4
400122569,1453831699,0,48.83624,2.248934,4
400122569,1453827643,9.4,48.84245,2.246644,4
400122569,1453829389,0,48.83633,2.248938,4
400122569,1453832240,0,48.83578,2.249033,4
400122569,1453831611,0,48.83624,2.248934,4
400122569,1453828344,1.72,48.83627,2.248911,4
400122569,1453832192,1.25,48.83585,2.248962,4
400122569,1453832240,0,48.83578,2.249033,4
400122569,1453831611,0,48.83624,2.248934,4
400122569,1453832128,1.77,48.83617,2.248686,4
400122569,1453831938,-1,48.83625,2.248854,4
400122569,1453831938,-1,48.83625,2.248854,4
400122569,1453832218,0,48.83578,2.249033,4
400122569,1453831835,0,48.83624,2.248933,4
400122569,1453828292,0.86,48.8359,2.249016,4
400122569,1453828421,-1,48.83623,2.248875,4
400122569,1453832458,11.15,48.82988,2.230424,4
400122569,1453831835,0,48.83624,2.248933,4
400122569,1453832381,15.06,48.83166,2.236745,4
400122569,1453827569,1.58,48.84402,2.240158,4
400122569,1453831994,0,48.83624,2.248933,4
400122569,1453828421,-1,48.83623,2.248875,4
400122569,1453827812,6.83,48.83799,2.247629,4
400122569,1453831699,0,48.83624,2.248934,4
400122569,1453832218,0,48.83578,2.249033,4
400122569,1453829468,0,48.83621,2.248998,4
400122569,1453832348,14.64,48.83357,2.242952,4
400122569,1453831745,0,48.83624,2.248934,4
400122569,1453827569,1.58,48.84402,2.240158,4
400122569,1453829468,0,48.83621,2.248998,4
400122569,1453832027,1.29,48.83587,2.249033,4
400137532,1453813567,-1,48.88485,2.247363,4
400137532,1453813534,-1,48.88866,2.247087,4
400137532,1453813567,-1,48.88325,2.247701,4
400137532,1453813567,-1,48.88245,2.24787,4
400137532,1453813601,-1,48.88245,2.24787,4
400137532,1453823257,-1,48.8886,2.246998,4
400137532,1453823257,-1,48.8886,2.246998,4
400137532,1453823802,-1,48.88842,2.246838,4
400137532,1453824183,-1,48.88832,2.246869,4
400137532,1453823693,-1,48.88855,2.24698,4
400137532,1453823733,-1,48.8898,2.245978,4
400137532,1453823096,-1,48.88831,2.246856,4
400137532,1453823314,-1,48.88849,2.246931,4
400137532,1453813662,-1,48.8883,2.246875,4
400137532,1453824174,-1,48.88834,2.246916,4
400137532,1453823324,-1,48.88849,2.246931,4
400137532,1453823156,-1,48.88865,2.246959,4
400137532,1453823813,-1,48.8898,2.245978,4
