time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-22T03:09:56.520Z,-41.9039,174.2195,10,4.7,mwr,,106,0.154,0.71,us,us10004rm8,2016-02-22T04:24:33.398Z,"48km SSE of Blenheim, New Zealand",earthquake,3.1,1.9,0.054,33,reviewed,us,us
2016-02-21T21:26:23.270Z,23.5921,144.306,29.51,5.6,mb,,191,3.981,0.86,us,us10004rkg,2016-02-23T18:39:20.000Z,"Volcano Islands, Japan region",earthquake,10.4,7.8,0.144,18,reviewed,us,us
2016-02-21T18:40:49.060Z,-20.9075,173.951,79.65,4.8,mb,,239,6.277,0.63,us,us10004rju,2016-02-22T02:43:30.640Z,"114km NW of Ceva-i-Ra, Fiji",earthquake,15.6,14.3,0.134,17,reviewed,us,us
2016-02-21T18:10:01.450Z,28.0107,84.7447,19.24,5,mb,,103,0.586,1.19,us,us10004rjm,2016-02-22T11:42:38.314Z,"43km ESE of Lamjung, Nepal",earthquake,9.7,4.6,0.075,57,reviewed,us,us
2016-02-21T18:03:27.770Z,37.4883,141.8349,19.84,4.7,mb,,135,0.912,0.56,us,us10004rjl,2016-02-21T23:02:45.523Z,"73km E of Namie, Japan",earthquake,6.3,4.4,0.126,19,reviewed,us,us
2016-02-21T16:31:59.250Z,36.148,78.139,10,4.6,mb,,94,4.714,0.99,us,us10004rj4,2016-02-22T00:34:35.118Z,"175km SW of Layka, China",earthquake,9.3,1.9,0.077,50,reviewed,us,us
2016-02-21T11:03:49.660Z,11.2016,140.1566,47.43,4.7,mb,,122,16.084,0.98,us,us10004ri5,2016-02-21T19:06:31.937Z,"163km NNW of Fais, Micronesia",earthquake,7.3,8.9,0.081,47,reviewed,us,us
2016-02-21T09:12:08.240Z,36.4751,70.86,176.74,5.5,mb,,42,0.688,0.73,us,us10004rhs,2016-02-23T21:02:15.000Z,"43km S of Jarm, Afghanistan",earthquake,4.9,5.6,0.047,157,reviewed,us,us
2016-02-21T03:39:39.540Z,6.9616,92.3997,31.02,4.5,mb,,135,4.676,0.83,us,us10004rgq,2016-02-21T11:42:07.719Z,"150km SW of Mohean, India",earthquake,9.8,6.5,0.127,18,reviewed,us,us
2016-02-21T02:26:21.850Z,4.5011,-32.6381,10,5,mb,,96,10.764,0.55,us,us10004rgh,2016-02-21T10:28:52.283Z,"Central Mid-Atlantic Ridge",earthquake,11.4,1.8,0.044,167,reviewed,us,us
2016-02-21T01:26:02.360Z,4.7183,-32.6174,10,5.3,mb,,80,10.977,0.66,us,us10004rga,2016-02-22T03:56:18.000Z,"Central Mid-Atlantic Ridge",earthquake,10.1,1.9,0.033,302,reviewed,us,us
2016-02-21T01:04:26.450Z,8.0048,-38.4401,10,4.9,mb,,79,13.972,0.65,us,us10004rg8,2016-02-21T09:06:52.897Z,"Central Mid-Atlantic Ridge",earthquake,10.8,1.9,0.049,128,reviewed,us,us
2016-02-20T22:42:09.160Z,-3.6002,141.3699,10,5,mb,,63,8.143,0.78,us,us10004rfq,2016-02-21T00:25:14.326Z,"102km S of Vanimo, Papua New Guinea",earthquake,8.2,1.9,0.074,58,reviewed,us,us
2016-02-20T21:34:03.100Z,-19.161,-177.3478,548.69,4.8,mb,,125,7.469,0.79,us,us10004rfl,2016-02-21T05:36:33.046Z,"217km NE of Ndoi Island, Fiji",earthquake,13.7,8.2,0.075,55,reviewed,us,us
2016-02-20T18:23:01.440Z,-32.4824,-69.8374,115.86,4.5,mwr,,66,0.664,1.27,us,us10004reu,2016-02-23T17:26:35.418Z,"81km ENE of Los Andes, Chile",earthquake,5.4,4.1,0.068,21,reviewed,us,us
2016-02-20T17:59:50.270Z,-34.381,179.3357,159.91,4.5,mb,,145,3.282,0.57,us,us10004rhc,2016-02-23T16:47:28.422Z,"South of the Kermadec Islands",earthquake,12.1,8.3,0.124,21,reviewed,us,us
2016-02-20T17:48:30.110Z,5.2125,-32.5346,14.95,4.8,mb,,128,13.08,0.67,us,us10004rew,2016-02-23T16:16:27.201Z,"Central Mid-Atlantic Ridge",earthquake,11.9,4.8,0.068,67,reviewed,us,us
2016-02-20T16:48:25.940Z,4.8333,-32.6181,10,5.1,mb,,128,25.422,0.96,us,us10004rel,2016-02-21T00:50:54.695Z,"Central Mid-Atlantic Ridge",earthquake,14.1,1.9,0.073,61,reviewed,us,us
2016-02-20T16:39:10.290Z,51.6487,-175.5336,64.85,4.5,mb,,195,0.752,0.93,us,us10004rei,2016-02-21T00:41:49.490Z,"81km ESE of Adak, Alaska",earthquake,10.4,8.4,0.074,54,reviewed,us,us
